"rules","support","confidence","lift"
"1","{0505524473} => {0843949945}",0.000156945834069017,0.888888888888889,3485.33333333333
"2","{3551551677} => {3551551693}",0.000156945834069017,0.8,4077.84
"3","{3551551693} => {3551551677}",0.000156945834069017,0.8,4077.84
"4","{0553269216} => {0553213180}",0.000196182292586271,0.769230769230769,1867.14285714286
"5","{0553269216} => {0553213164}",0.000196182292586271,0.769230769230769,1867.14285714286
"6","{0425155188} => {0425153789}",0.000156945834069017,0.8,3398.2
"7","{0425155188} => {0425160394}",0.000156945834069017,0.8,3398.2
"8","{0425155188} => {0425157628}",0.000196182292586271,1,2998.41176470588
"9","{084394952X} => {0515135216}",0.000176564063327644,0.75,2940.75
"10","{084394952X} => {0843949945}",0.000176564063327644,0.75,2940.75
"11","{0505523892} => {0505523752}",0.000215800521844898,0.916666666666667,3594.25
"12","{0505523752} => {0505523892}",0.000215800521844898,0.846153846153846,3594.25
"13","{0505523892} => {0505524090}",0.000215800521844898,0.916666666666667,3337.51785714286
"14","{0505524090} => {0505523892}",0.000215800521844898,0.785714285714286,3337.51785714286
"15","{0505523892} => {050552354X}",0.000196182292586271,0.833333333333333,3267.5
"16","{050552354X} => {0505523892}",0.000196182292586271,0.769230769230769,3267.5
"17","{0505523752} => {0505524090}",0.000235418751103525,0.923076923076923,3360.85714285714
"18","{0505524090} => {0505523752}",0.000235418751103525,0.857142857142857,3360.85714285714
"19","{0505523752} => {050552354X}",0.000215800521844898,0.846153846153846,3317.76923076923
"20","{050552354X} => {0505523752}",0.000215800521844898,0.846153846153846,3317.76923076923
"21","{0505524090} => {050552354X}",0.000196182292586271,0.714285714285714,2800.71428571429
"22","{050552354X} => {0505524090}",0.000196182292586271,0.769230769230769,2800.71428571429
"23","{0553213156} => {0553213164}",0.000235418751103525,0.8,1941.82857142857
"24","{0553213156} => {0553213148}",0.000235418751103525,0.8,1132.73333333333
"25","{0553269224} => {0553213180}",0.000196182292586271,0.769230769230769,1867.14285714286
