"rules","support","confidence","lift"
"1","{0505524473} => {084394952X}",0.00013732760481039,0.777777777777778,3303.80555555556
"2","{0505524473} => {0505523892}",0.00013732760481039,0.777777777777778,3303.80555555556
"3","{0505524473} => {0505523752}",0.00013732760481039,0.777777777777778,3049.66666666667
"4","{0505524473} => {0505524090}",0.00013732760481039,0.777777777777778,2831.83333333333
"5","{0505524473} => {0515135216}",0.00013732760481039,0.777777777777778,3049.66666666667
"6","{0505524473} => {0505524503}",0.00013732760481039,0.777777777777778,4405.07407407407
"7","{0505524503} => {0505524473}",0.00013732760481039,0.777777777777778,4405.07407407407
"8","{0505524473} => {0843949945}",0.000156945834069017,0.888888888888889,3485.33333333333
"9","{3551551677} => {3551551693}",0.000156945834069017,0.8,4077.84
"10","{3551551693} => {3551551677}",0.000156945834069017,0.8,4077.84
"11","{3551551677} => {3551551685}",0.00013732760481039,0.7,3964.56666666667
"12","{3551551685} => {3551551677}",0.00013732760481039,0.777777777777778,3964.56666666667
"13","{0553269216} => {0553213180}",0.000196182292586271,0.769230769230769,1867.14285714286
"14","{0553269216} => {0553213164}",0.000196182292586271,0.769230769230769,1867.14285714286
"15","{006440031X} => {0064400085}",0.00013732760481039,0.875,4955.70833333333
"16","{0064400085} => {006440031X}",0.00013732760481039,0.777777777777778,4955.70833333333
"17","{006440031X} => {0064400034}",0.00013732760481039,0.875,3716.78125
"18","{006440031X} => {0064400050}",0.00013732760481039,0.875,3185.8125
"19","{0425155188} => {0425148297}",0.00013732760481039,0.7,1784.055
"20","{0425155188} => {0425163717}",0.00013732760481039,0.7,3243.73636363636
"21","{0425155188} => {0425153789}",0.000156945834069017,0.8,3398.2
"22","{0425155188} => {0425160394}",0.000156945834069017,0.8,3398.2
"23","{0425155188} => {0425157628}",0.000196182292586271,1,2998.41176470588
"24","{084394952X} => {0515135216}",0.000176564063327644,0.75,2940.75
"25","{084394952X} => {0843949945}",0.000176564063327644,0.75,2940.75
"26","{0505523892} => {0505523752}",0.000215800521844898,0.916666666666667,3594.25
"27","{0505523752} => {0505523892}",0.000215800521844898,0.846153846153846,3594.25
"28","{0505523892} => {0505524090}",0.000215800521844898,0.916666666666667,3337.51785714286
"29","{0505524090} => {0505523892}",0.000215800521844898,0.785714285714286,3337.51785714286
"30","{0505523892} => {050552354X}",0.000196182292586271,0.833333333333333,3267.5
"31","{050552354X} => {0505523892}",0.000196182292586271,0.769230769230769,3267.5
"32","{0505523752} => {0505524090}",0.000235418751103525,0.923076923076923,3360.85714285714
"33","{0505524090} => {0505523752}",0.000235418751103525,0.857142857142857,3360.85714285714
"34","{0505523752} => {050552354X}",0.000215800521844898,0.846153846153846,3317.76923076923
"35","{050552354X} => {0505523752}",0.000215800521844898,0.846153846153846,3317.76923076923
"36","{0505524090} => {050552354X}",0.000196182292586271,0.714285714285714,2800.71428571429
"37","{050552354X} => {0505524090}",0.000196182292586271,0.769230769230769,2800.71428571429
"38","{0553213156} => {0553213164}",0.000235418751103525,0.8,1941.82857142857
